,Unnamed: 0,id,host_response_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,is_location_exact,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,guests_included,extra_people,minimum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,first_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,is_business_travel_ready,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
1322,1322,13812306,100%,0,17.0,17.0,1,0,0,39.94511,116.40916,0,1,6,1.0,1,1.0,0,"1,452.00",4,100.00,1,20,50,80,355,77,9,2016-07-13,95.0,10.0,9.0,10.0,10.0,10.0,9.0,1,0,0,0,0,17,4,13,0,2.21
1323,1323,13812438,100%,0,17.0,17.0,1,0,0,39.94512,116.40901,0,1,2,1.0,1,1.0,0,947.00,1,0.00,1,25,55,85,360,54,11,2016-07-10,91.0,9.0,9.0,10.0,10.0,10.0,9.0,1,0,0,0,0,17,4,13,0,1.55
1324,1324,13812521,100%,0,17.0,17.0,1,0,0,39.94392,116.40933,0,1,2,1.0,1,1.0,0,851.00,1,0.00,1,11,38,67,335,119,36,2016-07-07,93.0,9.0,10.0,10.0,10.0,10.0,9.0,1,0,0,0,0,17,4,13,0,3.4
1325,1325,13819949,99%,0,226.0,226.0,1,0,2,39.99212,116.33577,0,1,2,1.0,1,1.0,0,325.00,1,0.00,1,0,0,0,259,9,0,2016-07-05,98.0,10.0,10.0,10.0,10.0,10.0,9.0,0,0,0,0,0,221,67,154,0,0.26
1326,1326,13821149,100%,0,4.0,4.0,1,0,10,39.63915,115.5891,0,0,8,4.0,4,4.0,0,"1,001.00",1,0.00,1,25,55,85,175,5,2,2016-08-25,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,0,0,0,4,2,2,0,0.15
1328,1328,13831333,0%,0,2.0,2.0,1,1,3,39.92632,116.45716000000002,0,0,3,1.0,1,2.0,0,318.00,2,100.00,1,0,19,49,324,21,3,2016-07-09,92.0,10.0,9.0,9.0,10.0,10.0,9.0,1,0,1,0,0,2,2,0,0,0.6
1331,1331,13840229,100%,1,1.0,1.0,1,0,3,39.89977,116.48598,0,1,2,1.0,1,1.0,0,256.00,1,0.00,1,7,7,24,298,40,13,2016-07-14,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,2,0,0,1,0,1,0,1.15
1332,1332,13846664,,0,3.0,3.0,1,1,7,40.07578,116.42564,0,0,5,2.0,2,3.0,0,"1,298.00",1,0.00,7,29,59,89,89,1,0,2017-10-02,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,0,0,0,2,1,1,0,0.05
1333,1333,13850837,100%,0,17.0,17.0,1,0,0,39.94034,116.40154,1,0,16,7.0,7,9.0,0,"8,201.00",1,0.00,1,28,58,88,363,11,2,2016-08-12,93.0,9.0,10.0,10.0,10.0,10.0,10.0,0,0,0,0,0,17,4,13,0,0.33
1334,1334,13851394,100%,0,4.0,4.0,1,0,3,39.9395,116.4541,0,0,2,1.0,1,1.0,0,408.00,1,50.00,1,15,43,73,164,221,59,2016-07-17,98.0,10.0,10.0,10.0,10.0,10.0,9.0,1,0,0,0,0,4,2,2,0,6.38
