,id,host_response_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,is_location_exact,accommodates,bathrooms,bedrooms,beds,price,guests_included,extra_people,minimum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,first_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,neighbourhood_cleansed0,neighbourhood_cleansed1,neighbourhood_cleansed2,neighbourhood_cleansed3,neighbourhood_cleansed4,neighbourhood_cleansed5,neighbourhood_cleansed6,neighbourhood_cleansed7,neighbourhood_cleansed8,neighbourhood_cleansed9,neighbourhood_cleansed10,neighbourhood_cleansed11,neighbourhood_cleansed12,neighbourhood_cleansed13,neighbourhood_cleansed14,neighbourhood_cleansed15,bed_type0,bed_type1,bed_type2,bed_type3,bed_type4,room_type0,room_type1,room_type2,cancellation_policy0,cancellation_policy1,cancellation_policy2
1742,16061850,100,0,9,9,1,0,39.91303,116.42962,0,4,1,1,2,436,3,100,1,19,49,79,354,8,6,2016/11/29,95,10,10,10,10,10,9,0,0,0,3,3,0,0,0.27,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
1744,16071216,100,0,4,4,1,0,39.9219,116.51182,0,3,1,1,1,436,1,0,1,29,59,89,364,4,1,2016/12/19,100,10,10,10,10,10,10,1,0,0,4,4,0,0,0.14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
1858,16368937,100,1,6,6,1,1,39.95083,116.31239,0,4,1,2,3,436,3,50,1,11,20,33,308,21,4,2016/12/16,98,10,10,10,10,10,10,1,0,0,5,5,0,0,0.71,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
2218,17594672,100,1,3,3,1,1,39.93937,116.4541,0,5,1,2,3,436,4,50,3,15,45,75,76,22,1,2017/3/16,92,10,9,10,10,10,9,0,0,0,3,1,2,0,0.83,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
2335,17873799,98,0,15,15,1,1,39.94711,116.38981,0,2,1,1,1,436,1,50,2,12,37,63,154,84,41,2017/3/26,93,10,9,10,10,10,9,1,0,0,14,10,4,0,3.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
2537,18333567,100,1,2,2,1,0,39.94123,116.4158,0,2,1,1,1,436,1,80,2,26,56,86,361,41,17,2017/4/29,97,10,10,10,10,10,9,0,0,0,2,2,0,0,1.63,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
2650,18570838,99,0,42,42,1,1,39.92129,116.51209,0,2,1,1,1,436,1,0,1,21,51,81,352,33,15,2017/5/7,91,10,9,10,10,10,9,1,0,0,20,19,1,0,1.33,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
2698,18691942,90,1,2,2,1,1,39.89789,116.4299,1,2,1,1,1,436,1,0,1,29,59,89,364,12,12,2018/7/20,100,10,10,10,10,10,10,1,0,0,2,0,1,1,1.18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
2916,19106309,100,0,22,22,1,1,39.90073,116.48326,1,4,1,1,2,436,1,0,1,22,52,82,357,14,11,2017/12/17,90,9,9,9,9,9,9,1,0,0,22,22,0,0,0.81,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
2970,19205335,96,0,9,9,1,1,39.9411,116.44627,1,4,1,2,2,436,4,0,1,30,60,90,365,45,11,2017/6/17,94,10,10,10,10,10,9,1,0,0,9,9,0,0,1.92,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
2994,19274990,100,0,20,20,1,0,39.99159,116.47741,1,2,1,1,1,436,1,0,1,14,44,74,349,17,14,2018/1/1,92,9,9,9,10,9,9,0,0,0,20,20,0,0,1.01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
3004,19298427,100,0,11,11,1,1,39.96944,116.40341,0,4,1,2,3,436,1,0,1,30,60,90,365,2,0,2017/7/12,70,8,6,7,6,7,7,0,0,0,11,10,1,0,0.09,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
3038,19366434,96.53,0,1,1,1,0,40.01021,116.56077,0,4,2,2,2,436,1,0,2,0,0,0,0,5,2,2017/8/20,100,10,10,10,10,9,10,0,0,0,1,1,0,0,0.23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
3047,19379646,96.53,0,1,1,1,0,39.84794,116.36076,0,5,1,2,3,436,1,0,1,30,60,90,365,2,1,2018/5/5,100,10,10,10,10,10,10,1,0,0,1,1,0,0,0.16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
3146,19578810,100,0,4,4,1,0,39.96684,116.309,1,4,1,1,2,436,1,0,1,23,53,83,358,7,5,2017/10/4,93,10,8,10,10,10,9,0,0,0,4,4,0,0,0.35,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
3151,19585899,99,0,42,42,1,1,39.92087,116.51756,0,2,1,1,1,436,1,0,1,29,59,89,364,14,5,2017/7/1,91,10,9,10,10,10,9,1,0,0,20,19,1,0,0.61,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
3287,19865556,99,0,42,42,1,1,39.92236,116.516,0,2,1,1,1,436,1,0,1,29,59,89,364,15,8,2017/8/15,99,10,10,10,10,10,10,1,0,0,20,19,1,0,0.7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
3531,20236781,100,0,24,24,1,0,39.9925,116.32866,1,4,1,2,2,436,4,0,1,8,8,8,283,28,8,2017/8/9,89,9,9,10,9,10,9,1,0,0,17,17,0,0,1.29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
3583,20288567,100,0,11,11,1,1,39.97076,116.40589,0,4,1,2,2,436,1,0,1,30,60,90,365,2,1,2017/9/4,100,10,10,10,10,10,10,0,0,0,11,10,1,0,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
3880,20780753,100,1,1,1,1,0,39.9681,116.45266,1,2,1,1,1,436,1,0,4,0,22,52,53,7,6,2017/9/13,100,10,10,9,10,10,10,1,0,0,1,1,0,0,0.34,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
3907,20805727,100,0,4,4,1,0,39.96608,116.30748,1,4,1,1,2,436,1,0,1,16,44,61,322,13,4,2017/9/12,97,9,9,9,9,9,9,1,0,0,4,4,0,0,0.63,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
3911,20807656,100,0,3,3,1,0,39.88048,116.39614,0,2,1,0,1,436,2,100,1,16,31,53,140,2,1,2018/1/3,100,10,10,10,10,10,9,1,0,0,3,3,0,0,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
4227,21134835,80,0,41,41,1,0,39.95747,116.32196,1,4,1,2,2,436,1,0,1,27,57,87,362,7,3,2017/12/3,74,10,8,9,9,9,8,0,0,0,40,40,0,0,0.39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
