,host_response_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,is_location_exact,accommodates,bathrooms,bedrooms,beds,guests_included,extra_people,minimum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,first_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,neighbourhood_cleansed0,neighbourhood_cleansed1,neighbourhood_cleansed2,neighbourhood_cleansed3,neighbourhood_cleansed4,neighbourhood_cleansed5,neighbourhood_cleansed6,neighbourhood_cleansed7,neighbourhood_cleansed8,neighbourhood_cleansed9,neighbourhood_cleansed10,neighbourhood_cleansed11,neighbourhood_cleansed12,neighbourhood_cleansed13,neighbourhood_cleansed14,neighbourhood_cleansed15,bed_type0,bed_type1,bed_type2,bed_type3,bed_type4,room_type0,room_type1,room_type2,cancellation_policy0,cancellation_policy1,cancellation_policy2
9177,97.0,1,8,8,1,0,39.898759999999996,116.43435,1,4,1.0,1,1,1,0,1,29,59,89,364,15,15,156.0,92,9,9,10,10,9,9,1,0,0,8,8,0,0,2.87,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
2161,98.0,0,15,15,1,1,39.94742,116.39736,1,3,1.0,1,2,2,50,2,11,36,66,152,67,36,764.0,94,10,9,10,10,10,9,1,0,0,14,10,4,0,2.63,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
2358,96.0,0,7,7,1,0,39.99478,116.45986,0,4,1.0,2,2,3,80,1,13,39,39,44,78,25,742.0,93,9,9,10,10,9,9,1,0,0,7,5,2,0,3.15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
12211,100.0,1,32,32,1,0,39.95776,116.4419,1,2,1.0,1,1,2,50,1,0,0,0,85,23,23,144.0,95,10,9,10,10,10,9,1,0,0,18,18,0,0,4.76,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
11704,100.0,0,3,3,1,0,40.00927,116.28671000000001,1,2,1.0,1,1,1,0,1,0,0,0,0,2,2,139.0,100,10,9,10,10,9,9,1,0,0,2,0,2,0,0.43,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
8494,100.0,0,2,2,1,0,39.91433,116.52471000000001,0,4,1.0,1,3,1,50,1,29,59,89,180,3,3,252.0,100,10,10,10,10,10,10,1,0,0,2,2,0,0,0.36,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
16369,100.0,0,1,1,1,0,40.37832,116.43111,0,8,4.0,3,3,1,0,1,28,58,88,178,1,1,20.0,100,10,10,10,10,10,10,1,0,0,1,1,0,0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
3332,100.0,0,22,22,1,0,39.89568,116.41265,0,4,1.0,1,2,1,0,1,30,60,86,357,1,1,69.0,100,10,10,10,10,10,10,0,0,0,22,22,0,0,0.43,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
14503,100.0,0,2,2,1,0,39.89929,116.55108,0,2,1.0,0,1,1,0,1,30,60,90,365,6,6,67.0,100,10,9,10,10,9,9,1,0,0,2,2,0,0,2.65,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
6040,92.0,0,28,28,1,0,39.8935,116.33991,0,7,1.0,3,4,1,0,1,21,51,81,171,10,9,388.0,90,9,9,9,9,9,9,1,0,0,26,25,1,0,0.77,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
15006,100.0,0,6,6,1,0,39.76599,116.21258999999999,1,1,1.5,1,1,1,0,1,30,60,90,90,1,1,27.0,100,10,10,10,10,10,10,0,0,0,6,2,2,2,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
16085,100.0,0,2,2,1,0,39.89467,116.33081000000001,1,2,1.0,1,1,1,0,1,23,26,26,34,1,1,6.0,100,10,10,10,10,10,10,1,0,0,2,2,0,0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
10809,100.0,0,8,8,1,0,39.90037,116.28028,1,2,1.0,1,1,1,50,1,27,57,87,362,1,1,172.0,100,10,10,10,10,10,10,1,0,0,7,7,0,0,0.17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
16610,100.0,1,5,5,1,0,39.87263,116.45221000000001,1,4,1.0,2,2,4,100,2,18,48,78,259,3,3,17.0,100,10,10,10,10,10,10,0,0,0,3,3,0,0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
472,100.0,0,20,20,1,0,39.894040000000004,116.50593,1,4,1.0,2,2,1,0,1,18,18,18,18,24,0,1172.0,98,10,10,10,10,10,10,0,0,0,19,19,0,0,0.61,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
8576,100.0,0,13,13,1,0,39.858000000000004,116.51961999999999,0,5,1.0,2,2,1,0,1,26,56,86,361,4,4,276.0,95,10,10,10,10,10,10,0,0,0,13,12,1,0,0.43,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
1091,100.0,0,18,18,1,1,39.904109999999996,116.42418,1,2,1.0,1,1,1,0,1,27,57,87,362,25,14,977.0,100,10,10,10,10,10,10,1,0,0,18,18,0,0,0.77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
12157,100.0,0,8,8,1,0,39.91367,116.6579,0,4,1.0,1,1,4,0,1,30,59,89,364,5,5,135.0,96,10,10,10,10,10,10,1,0,0,7,7,0,0,1.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
13861,99.0,0,18,18,1,1,39.94093,116.28058999999999,0,2,1.0,0,1,1,0,1,12,42,72,80,5,5,77.0,84,8,9,10,10,9,9,0,0,0,14,7,7,0,1.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
14202,99.0,1,10,10,1,1,39.98376,116.4187,1,2,1.0,1,1,1,50,1,19,49,79,80,6,6,76.0,97,10,10,10,10,10,10,1,0,0,10,0,6,4,2.34,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
8739,100.0,1,3,3,1,0,40.001129999999996,116.46600000000001,0,2,1.0,1,1,1,60,1,29,53,57,324,28,28,270.0,96,10,10,10,10,9,9,1,0,0,3,0,3,0,3.09,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
5766,100.0,1,21,21,1,0,39.91325,116.4132,0,6,1.0,1,3,4,100,3,14,44,74,75,34,27,404.0,99,10,10,10,10,10,9,0,0,0,8,8,0,0,2.52,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
14098,70.0,0,1,1,1,0,39.899159999999995,116.42204,0,1,1.0,1,1,1,0,1,28,58,70,70,8,8,74.0,100,10,10,10,10,10,10,1,0,0,1,0,0,1,3.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
8675,70.0,0,1,1,1,0,40.10617,116.63231,0,2,1.0,1,1,1,0,1,30,40,40,242,8,8,217.0,98,10,10,10,10,10,10,1,0,0,1,1,0,0,1.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
8130,100.0,1,3,3,1,0,40.042970000000004,116.42151000000001,0,2,1.0,1,1,2,40,2,16,43,73,74,34,34,288.0,98,10,10,10,10,9,10,1,0,0,3,0,3,0,3.53,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
7343,98.0,0,12,12,1,1,39.93206,116.41005,1,2,1.0,1,1,1,0,1,13,43,73,74,15,15,287.0,95,10,9,10,10,10,10,1,0,0,4,4,0,0,1.56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
687,100.0,0,6,6,1,1,39.92279,116.49691000000001,0,2,1.0,1,1,1,0,1,17,42,72,73,157,50,1130.0,97,10,10,10,10,10,9,1,0,0,6,4,2,0,4.16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
