,id,host_response_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,is_location_exact,accommodates,bathrooms,bedrooms,beds,price,guests_included,extra_people,minimum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,first_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,neighbourhood_cleansed0,neighbourhood_cleansed1,neighbourhood_cleansed2,neighbourhood_cleansed3,neighbourhood_cleansed4,neighbourhood_cleansed5,neighbourhood_cleansed6,neighbourhood_cleansed7,neighbourhood_cleansed8,neighbourhood_cleansed9,neighbourhood_cleansed10,neighbourhood_cleansed11,neighbourhood_cleansed12,neighbourhood_cleansed13,neighbourhood_cleansed14,neighbourhood_cleansed15,bed_type0,bed_type1,bed_type2,bed_type3,bed_type4,room_type0,room_type1,room_type2,cancellation_policy0,cancellation_policy1,cancellation_policy2,Distance,subwayDistance
1236,15031949,98.0,0,3,3,1,0,39.905359999999995,116.4075,0,2,1.0,1,1,491,1,50,1,15,42,72,347,31,18,700,96,10,10,10,10,10,10,1,0,0,3,0,3,0,1.33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,2.9189999999999996,0.52
1237,15032008,76.0,0,6,6,1,1,40.53413,116.49898,0,12,3.0,4,9,1802,1,0,1,29,59,89,364,1,0,977,100,10,10,10,10,10,10,0,0,0,6,4,2,0,0.03,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,67.748,39.275
1238,15035721,100.0,0,10,10,1,1,39.88661,116.52736999999999,0,2,4.0,1,1,360,1,0,1,29,59,89,364,2,0,959,100,10,10,10,10,10,10,0,0,0,8,2,5,1,0.06,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,12.227,2.044
1239,15037178,100.0,0,3,3,1,0,40.01078,116.34839,1,2,1.0,1,1,360,1,0,3,17,47,77,230,20,11,815,99,10,10,10,10,9,10,0,0,0,3,3,0,0,0.74,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,9.845,1.151
1240,15043430,100.0,0,5,5,1,1,39.894940000000005,116.45182,0,4,2.0,2,2,602,1,0,1,8,31,54,55,134,40,958,95,10,10,10,10,10,10,0,0,0,5,5,0,0,4.19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,6.176,0.28
1241,15048164,96.53,0,1,1,1,1,39.97749,116.41802,0,1,1.0,2,1,166,1,50,1,0,0,0,0,31,0,970,97,10,10,10,10,10,10,1,0,0,1,0,1,0,0.96,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,5.6160000000000005,0.058
1242,15051882,100.0,1,3,3,1,1,39.89857,116.48198000000001,0,2,1.0,1,1,360,2,0,1,29,59,89,364,26,9,960,97,10,10,10,10,10,10,1,0,0,3,3,0,0,0.81,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,8.15,0.657
1243,15061779,100.0,0,13,13,1,0,39.90027,116.4655,0,2,1.5,1,1,526,1,50,1,29,59,89,364,15,0,936,95,10,9,10,10,10,10,0,0,0,13,12,1,0,0.48,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,6.813,0.814
1244,15067410,100.0,0,2,2,1,1,39.92646,116.63753999999999,0,1,1.0,1,1,83,1,50,1,19,49,79,354,6,1,678,100,10,10,10,10,9,10,0,0,0,2,0,1,1,0.27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,20.63,0.156
1245,15074358,40.0,0,7,7,1,1,39.92586,116.6106,0,5,2.0,2,2,401,1,0,1,0,0,0,141,4,3,892,95,10,10,10,10,10,10,0,0,0,7,7,0,0,0.13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,18.335,0.451
