id,host_response_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,is_location_exact,accommodates,bathrooms,bedrooms,beds,price,guests_included,extra_people,minimum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,first_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,neighbourhood_cleansed0,neighbourhood_cleansed1,neighbourhood_cleansed2,neighbourhood_cleansed3,neighbourhood_cleansed4,neighbourhood_cleansed5,neighbourhood_cleansed6,neighbourhood_cleansed7,neighbourhood_cleansed8,neighbourhood_cleansed9,neighbourhood_cleansed10,neighbourhood_cleansed11,neighbourhood_cleansed12,neighbourhood_cleansed13,neighbourhood_cleansed14,neighbourhood_cleansed15,bed_type0,bed_type1,bed_type2,bed_type3,bed_type4,room_type0,room_type1,room_type2,cancellation_policy0,cancellation_policy1,cancellation_policy2,Distance
22735088,99,0,226,226,1,0,39.9928,116.3328,0,1,1,1,1,166,1,0,1,0,0,0,259,12,3,488,95,10,9,10,10,10,10,0,0,0,221,67,154,0,0.74,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,8.802
22735900,100,0,4,4,1,0,39.89513,116.46409,0,2,1,1,1,249,1,0,2,30,60,90,365,2,1,451,100,10,9,10,10,10,10,0,0,0,4,1,2,1,0.13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,7.007
22736026,96.53,0,2,2,1,0,40.02622,116.41359,0,2,1,1,1,270,1,0,1,0,0,0,0,8,3,479,100,10,10,10,10,10,10,0,0,0,2,0,2,0,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,10.809
22736532,96.53,0,1,1,1,0,39.98795,116.41348,0,1,1,0,1,83,1,0,1,0,0,0,0,3,0,487,93,10,9,10,10,10,10,0,0,0,1,0,1,0,0.18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,6.622
22737910,96.53,0,1,1,1,0,39.89705,116.46988,0,2,1,1,1,263,1,0,1,0,0,0,0,3,0,403,100,10,10,10,10,9,10,0,0,0,1,0,1,0,0.22,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,7.314
22740988,100,1,2,2,1,0,39.98058,116.38257,1,2,1,1,1,242,1,50,3,3,3,3,3,4,0,478,100,10,10,10,10,10,10,1,0,0,2,1,1,0,0.25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,5.735
22753175,100,1,2,2,1,0,39.92716,116.40105,0,3,1,1,1,436,2,130,1,13,24,42,43,111,82,480,97,10,10,10,10,10,10,0,0,0,1,1,0,0,6.92,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0.558
22753896,100,0,4,4,1,0,39.89299,116.46346,0,2,1,1,1,256,1,0,1,30,60,90,365,4,2,401,80,8,8,8,8,8,8,0,0,0,4,1,2,1,0.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,7.098
22754597,100,0,7,7,1,1,39.93818,116.25305,0,3,1,1,2,338,1,0,1,13,43,73,348,2,1,385,90,10,10,10,10,8,9,1,0,0,7,7,0,0,0.16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,12.192
22754915,100,0,7,7,1,1,39.93849,116.25244,1,3,1,1,2,338,1,0,1,13,43,73,348,1,0,378,100,10,10,10,10,10,10,1,0,0,7,7,0,0,0.08,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,12.247
22755240,96.53,0,1,1,1,0,40.03402,116.33989,0,2,1,1,1,180,1,0,1,0,0,0,0,3,0,477,100,10,10,10,10,10,10,1,0,0,1,1,0,0,0.19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,12.505
22756977,100,0,1,1,1,0,39.87946,116.68625,0,4,1,2,2,401,1,0,1,24,54,84,359,15,9,472,96,10,10,10,10,9,10,1,0,0,1,1,0,0,0.95,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,25.417
22759819,100,0,1,1,1,0,39.94124,116.44438,0,2,1,1,1,166,2,108,2,29,59,89,364,6,5,409,84,7,8,10,8,9,8,0,0,0,1,0,1,0,0.44,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,4.34
22761468,100,0,4,4,1,1,39.92359,116.5128,0,3,1,1,1,325,2,50,1,27,57,87,88,1,1,18,100,10,10,10,10,10,10,1,0,0,4,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,10.015
22762533,90,1,1,1,1,1,39.91854,116.51608,0,2,1,1,1,235,1,0,1,0,0,0,0,35,25,483,99,10,10,10,10,10,10,0,0,0,1,0,1,0,2.17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,10.349
