,id,host_response_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,is_location_exact,accommodates,bathrooms,bedrooms,beds,price,guests_included,extra_people,minimum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,first_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,neighbourhood_cleansed0,neighbourhood_cleansed1,neighbourhood_cleansed2,neighbourhood_cleansed3,neighbourhood_cleansed4,neighbourhood_cleansed5,neighbourhood_cleansed6,neighbourhood_cleansed7,neighbourhood_cleansed8,neighbourhood_cleansed9,neighbourhood_cleansed10,neighbourhood_cleansed11,neighbourhood_cleansed12,neighbourhood_cleansed13,neighbourhood_cleansed14,neighbourhood_cleansed15,bed_type0,bed_type1,bed_type2,bed_type3,bed_type4,room_type0,room_type1,room_type2,cancellation_policy0,cancellation_policy1,cancellation_policy2
2190,18152427,100.0,0,3,3,1,0,39.96573,116.49144,1,2,1.0,1,1,567,2,80,1,27,57,87,362,29,4,765.0,97,10,10,10,10,10,10,0,0,0,3,3,0,0,1.14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
2191,18161235,100.0,1,5,5,1,0,40.08378,116.3545,0,2,1.0,1,1,249,2,70,1,30,60,90,102,41,20,758.0,98,10,10,10,10,10,10,1,0,0,5,3,2,0,1.62,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
2192,18161628,94.0,0,33,33,1,1,39.96534000000001,116.32787,1,2,1.0,1,1,367,1,0,1,30,60,90,365,12,2,717.0,95,10,9,10,10,10,9,0,0,0,33,33,0,0,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
2193,18162823,96.53,0,2,2,1,1,39.90486,116.34671000000002,1,2,1.0,1,2,650,1,0,1,0,0,0,0,24,0,748.0,99,10,10,10,10,10,10,0,0,0,2,2,0,0,0.96,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
2194,18165447,100.0,1,5,5,1,0,40.0837,116.36153,0,2,1.0,1,1,249,2,0,1,30,60,90,102,34,17,703.0,98,10,10,10,10,10,10,1,0,0,5,3,2,0,1.45,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
2195,18169114,100.0,1,1,1,1,0,40.05265,116.40951,0,4,1.0,2,2,297,1,0,1,6,25,45,320,51,14,766.0,96,10,9,10,10,9,10,0,0,0,1,1,0,0,1.99,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
2196,18172659,90.0,1,2,2,1,0,39.89531,116.45381,1,1,1.0,1,1,387,1,0,1,28,58,88,179,38,8,762.0,99,10,10,10,10,10,10,0,0,0,2,1,1,0,1.49,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
2197,18182586,100.0,0,4,4,1,1,40.17111,115.92452,0,10,3.0,4,10,2182,10,200,1,24,53,83,83,26,5,765.0,96,10,10,10,10,9,9,1,0,0,4,3,1,0,1.02,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
2198,18198498,100.0,1,10,10,1,1,39.91672,116.45104,0,2,1.0,1,1,947,1,0,2,10,32,62,63,41,11,766.0,100,10,10,10,10,10,10,0,0,0,9,9,0,0,1.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
2199,18199463,100.0,0,1,1,1,1,39.96777,116.45385,0,2,1.0,1,1,235,1,0,1,29,59,89,364,10,0,754.0,98,10,10,10,10,10,10,0,0,0,1,0,1,0,0.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
2200,18202464,100.0,0,7,7,1,1,39.89418,116.49849,0,2,1.0,1,1,394,1,0,1,0,9,39,314,3,1,715.0,80,9,9,10,10,10,9,1,0,0,7,7,0,0,0.13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
